"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0003-0276-9211","55a45da665ce31bc87783f2b","salvatore","","salvatore arena","arena salvatore","irrera natasha"
"0000-0001-6196-7504","56d82206dabfae2eeec315da","christian","","christian walkshäusl","christian walkshausl",""
"0000-0002-5132-7463","5488e17645ce147a86e06901","zhong liu","","zhong liu","zhong liu","weiming zhu"
"0000-0002-2773-6427","5c0f76deda562944ac705bb0","jie liang","","jie liang","jie liang","ke tang"
"0000-0001-5135-7331","56d8fda9dabfae2eeec2c519","rodrigues","","andre rodrigues","andre flavio s f rodrigues","erik daemon"
"0000-0002-4755-6562","56d81ddcdabfae2eeea6ffae","krzysztof","","krzysztof meissner","krzysztof a meissner","hermann nicolai"
"0000-0003-0165-1983","55a5518765ceb7cb02e80fa6","francesca","","francesca ieva","ieva francesca","paganoni anna m"
"0000-0003-2224-0913","55a55ead65ceb7cb02e9f0e7","sant'anna","","sávio sant'anna","sant'anna sávio s","pagotto ana h"
"0000-0002-0595-6533","5c0f7aa2da562944ac791471","hanna kim","","hanna kim","hanna kim","simona nativ"
"0000-0001-8301-6187","56d91c73dabfae2eee82d484","lindholst","","andrej christian lindholst","christian lindholst","peter bogetoft"
"0000-0001-8403-3405","5c2bff893a55ac05029c13b1","hallowell","","emily hallowell","emily s hallowell","spencer w liebel"
"0000-0002-4582-7488","53e9b69db7602d9704211eb6","wenyu liu","","wenyu liu","wenyu liu","zhijun yao"
"0000-0003-2308-8634","55a3cef265ce5cd7b3b881e4","natércia","","natércia teixeira","teixeira natércia","mateus nuno"
"0000-0002-1470-0791","53e9b268b7602d9703d0d410","gambaryan","","stepan gambaryan","gambaryan stepan","bolz steffen-sebastian"
"0000-0001-8991-3903","53e9bc10b7602d9704873a42","jacobsohn","","luiz jacobsohn","l.g. jacobsohn","m.m. lacerda"
"0000-0003-3696-2896","56d87950dabfae2eee2f759a","han htoon","","han htoon","han htoon","junichiro kono"
"0000-0002-0255-5814","53e9bc2cb7602d9704896a9d","theologou","","thomas theologou","t. theologou","h. ellis"
"0000-0001-5536-4707","53e9b32bb7602d9703dfb397","svetitsky","","benjamin svetitsky","b. svetitsky","p. h. damgaard"
"0000-0001-9131-3827","55a4ae6965ceb7cb02d5f58d","aristidis","","aristidis moustakas","moustakas aristidis","heldin carl-henrik"
"0000-0002-2156-6973","558aa7ebe4b031bae1f8e62e","jakobsson","","andreas jakobsson","jakobsson, a.","zhuo zhang"
"0000-0001-8008-6980","53e9bd64b7602d97049fe8db","jan vogel","","jan vogel","jan vogel","maurizio sacchi"
"0000-0003-3667-9628","55a4dfdb65ceb7cb02dabdd1","catherine","","catherine lemiere","lemiere catherine","boschetto piera"
"0000-0001-6675-9763","56d8f336dabfae2eee8246b2","radanovic","","mirjana radanovic","mirjana m radanovic","ljiljana s jovanovic"
"0000-0001-9221-9891","56d8f203dabfae2eee7b303a","ivan etzo","","ivan etzo","ivan etzo","romano piras"
"0000-0001-6266-4337","53e9a76eb7602d97030a8f23","troitzsch","","klaus troitzsch","k. g. troitzsch",""
"0000-0001-9646-6208","55a6b49e65ce054aad720b5c","ruqaiyyah","","ruqaiyyah siddiqui","siddiqui ruqaiyyah","iqbal junaid"
"0000-0001-9057-4961","59aa197f0cf263c7375e9c7a","wainstock","","tamar wainstock","wainstock tamar","estis-deaton asia"
"0000-0002-1331-3255","5ac182a517c44a1fda91851e","scholtens","","lianne scholtens","lianne h. scholtens","ruben schmidt"
"0000-0003-0718-5602","53e9b84ab7602d970440a717","mcqueeney","","robert j. mcqueeney","r. j. mcqueeney","e. d. bauer"
"0000-0003-3009-9200","55a5ef66612c6b12ab323904","sebastian","","sebastian johnston","johnston sebastian l","martin richard j"
"0000-0001-6443-0788","5c0f6f81da562944ac5f4711","alexander","","alexander mukhitov","alexander r mukhitov","valeri barsegov"
"0000-0002-4731-2939","558ba1f7e4b00c3c48dd996c","quan wang","","quan wang","quan wang","yujian cheng"
