"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-2218-3771","22495727","stefano lazzi","","stefano lazzi","stefano lazzi","maria raffaella ambrosio"
"0000-0002-5018-7438","22075688","maryam baeeri","","maryam baeeri","maryam baeeri","amir baghaei"
"0000-0002-3082-1032","31577245","rahul rastogi","","rahul rastogi","rahul rastogi","monica w harbell"
"0000-0003-4677-424X","21069257","bülent polat","","bülent polat","bülent polat","rajnikant patel"
"0000-0002-0891-4224","28721439","kurt højlund","","kurt højlund","kurt højlund","birgitte f vind"
"0000-0002-6506-9020","27564519","alfredo dubra","","alfredo dubra","alfredo dubra","johnny tam"
"0000-0003-4142-1760","17534116","fabiola sesti","","fabiola sesti","fabiola sesti","sabina pucci"
"0000-0003-3169-479X","18283666","martin irmler","","martin irmler","martin irmler","daniela hartl"
"0000-0002-2372-1420","24755634","mazei-robison","","michelle mazei-robison","michelle s mazei-robison","eric j nestler"
"0000-0003-2215-4273","26677215","audrey lyndon","","audrey lyndon","audrey lyndon","r adams dudley"
"0000-0002-2425-5281","23581514","oliver diwald","","oliver diwald","oliver diwald","nicolas siedl"
"0000-0003-1681-0684","16182107","eiji matsuura","","eiji matsuura","eiji matsuura","yuji hiramatsu"
"0000-0002-0927-4185","29944531","jeong hyun ha","","jeong hyun ha","jeong hyun ha","seong oh park"
"0000-0002-1572-9270","24516125","dong woog lee","","dong woog lee","dong woog lee","joan m boggs"
"0000-0002-9401-6868","30046155","joanna dionne","","joanna dionne","joanna dionne","yuhong yuan"
"0000-0001-9963-1766","25701278","julie markant","","julie markant","julie markant","dima amso"
"0000-0003-3155-7576","30087143","hiromichi ebi","","hiromichi ebi","hiromichi ebi","yoshiko murakami"
"0000-0002-9231-3551","31431526","keith gilmore","","keith gilmore","keith gilmore","thorsten schmitt"
"0000-0001-8624-1507","22013555","ernst lengyel","","ernst lengyel","ernst lengyel","hilary a kenny"
"0000-0002-3378-3481","28853871","gerald monard","","gerald monard","gerald monard","laurent vial"
"0000-0001-5424-069X","25911195","aliona tsypes","","aliona tsypes","aliona tsypes","brandon e gibb"
"0000-0001-8839-294X","16261642","anna barbieri","","anna barbieri","anna barbieri","francesco saverio violante"
"0000-0002-6903-2954","25742721","michele manca","","michele manca","michele manca","shantikumar v nair"
"0000-0001-9296-0225","17389652","hirokazu yagi","","hirokazu yagi","hirokazu yagi","kazuya i-p jwa hidari"
"0000-0003-2763-0902","28937858","paola bressan","","paola bressan","paola bressan","peter kramer"
"0000-0002-2796-1026","24716133","tsuo-hung lan","","tsuo-hung lan","tsuo-hung lan","tsung-ming hu"
"0000-0001-9544-3610","28091657","daniel gitler","","daniel gitler","daniel gitler","arie moran"
"0000-0002-6966-5073","28135612","rafael linden","","rafael linden","rafael linden","jairo lizandro schmitt"
"0000-0002-5234-7415","27445143","rhodri cusack","","rhodri cusack","rhodri cusack","sara fabbri"
"0000-0002-0281-1347","28662117","xavier barril","","xavier barril","xavier barril","gabriele cruciani"
"0000-0001-5861-656X","28124216","fatemeh shaki","","fatemeh shaki","fatemeh shaki","nematollah ahangar"
"0000-0001-6012-4900","22230474","kris-etherton","","penny kris-etherton","penny m kris-etherton","robert b beelman"
"0000-0003-4426-5089","24608472","raghav singla","","raghav singla","raghav singla","bhawani s sharma"
"0000-0002-0905-5927","27784957","michele merli","","michele merli","michele merli","giuseppe carli"
"0000-0002-5336-7645","30111136","prabir khatua","","prabir khatua","prabir khatua","sanjoy bandyopadhyay"
